"product_name,price,Ratings,Features,pagenum,Originalprice,Discount,Review",,,,
"NATIVE By Urban Company M1 Copper | Needs no service for 2 years | 10-stage Purifier 8 L RO + UV + Min...,""₹14,999"",4.5,Electrical & Storage2 year unconditional warranty on all spare parts including filters & membranes at zero service cost,1,""₹20,999"",28% off,""10,672 Ratings & 1,014 Reviews""",,,,
"NATIVE By Urban Company M2 Pro 8 L RO + UV + Minerals + Alkaline Water Purifier 10-Stage Smart Water P...,""₹18,999"",4.5,Electrical & StorageFiltration Capacity: 25 L/hr2 years unconditional warranty on all spare parts including filters & membranes at zero service cost,1,""₹26,999"",29% off,""5,475 Ratings & 550 Reviews""",,,,
"Aqua Fresh Smoke Audi 18 ltr drink pure India 1st BIS (IS 16240 :2023) CM/L8100159306 18 L RO + UV + U...,""₹3,893"",4,Electrical & StorageFiltration Capacity: 18 L/hr1 Year Manufacturer Domestic Warranty on MOTOR and SMPS only,1,""₹16,500"",76% off,""1,21,129 Ratings & 13,092 Reviews""",,,,
"KENT ACE Plus- B 8 L RO + UV + UF + Alkaline + Copper + TDS Control + UV LED Water Purifier Advanced R...,""₹12,999"",4.4,Electrical & Storage1 Year Warranty Provided by the Manufacturer from Date of Purchase,1,""₹26,500"",50% off,""90,975 Ratings & 8,087 Reviews""",,,,
"Kenstar Black Pureza. 8 L RO + UF + UV + Copper + Alkaline + Mineralizer Water Purifier Needs no servi...,""₹5,512"",4.1,""Electrical & StorageFiltration Capacity: 8 L/hr2-year unconditional warranty covers all filters, membranes & electrical part changes at zero service cost.Only every visit will charge Rs 300/-"",1,""₹16,500"",66% off,""30,816 Ratings & 2,829 Reviews""",,,,
"KENT Ace Plus Alkaline+Copper 8 L RO + UV + UF + Alkaline + Copper + TDS Control + UV LED Water Purifi...,""₹12,999"",4.4,Electrical & Storage1 Year Warranty Provided by the Manufacturer from Date of Purchase,1,""₹26,500"",50% off,""90,975 Ratings & 8,087 Reviews""",,,,
"Aquaguard Sure Delight 6 L RO + UV + UF Water Purifier 2 Year Filter Life | With Mega Sediment Filter ...,""₹10,499"",4.3,Electrical & StorageFiltration Capacity: 24 L/hr1 Year Manufacturer Domestic Warranty,1,""₹22,000"",52% off,""17,374 Ratings & 1,685 Reviews""",,,,
"LIVPURE LIV-ETERNA-PREMIA 7 L RO + UF + UV + Copper + Alkaline + Mineralizer Water Purifier | NO SERVI...,""₹11,999"",4.2,""Electrical & Storage2 Years Unconditional Warranty, Including all filters, membranes & electrical part changes covered at zero service cost."",1,""₹26,990"",55% off,""99,690 Ratings & 13,900 Reviews""",,,,
"LIVPURE LIV-PEP-STAR-COPPER 7 L RO + UV + UF + Minerals + Copper Water Purifier,""₹8,399"",4.2,Electrical & Storage1 Year Warranty,1,""₹18,490"",54% off,""99,690 Ratings & 13,900 Reviews""",,,,
"LIVPURE LIV-PEP-LITE-COPPER 7 L RO + Copper Water Purifier,""₹6,499"",4.2,Electrical & StorageFiltration Capacity: 15 L/hr1 Year Manufacturer Domestic Warranty,1,""₹14,490"",55% off,""99,690 Ratings & 13,900 Reviews""",,,,
"Always Dellpure Zinc Copper 9 Stage Purification Water purifier With LED INDICATOR 12 L RO + UV + UF +...,""₹3,521"",4,Electrical & StorageFiltration Capacity: 14 L/hr1-year domestic warranty on All electronics part including Moter/Smps available from Manufacturer. But Installation amount will be paid by customer after the installation  All service will be chargeable. for claim warranty call 1800123168168 toll free .,1,""₹16,500"",78% off,""10,659 Ratings & 3,644 Reviews""",,,,
"NATIVE By Urban Company M0 5 L RO + UV + Mineraliser Water Purifier 8-Stage Water Purifier | No Servic...,""₹12,499"",4.5,Electrical & Storage2 years unconditional warranty on all spare parts including filters & membranes at zero service cost,1,""₹18,999"",34% off,""10,672 Ratings & 1,014 Reviews""",,,,
"LIVPURE LIV-ETERNA 7 L RO + UV + Copper Water Purifier | NO SERVICE COST FOR 2 YEARS | 8 STAGE ADVANCE...,""₹9,999"",4.2,""Electrical & Storage2 Years Unconditional Warranty, Including all filters, membranes & electrical part changes covered at zero service cost."",1,""₹24,990"",59% off,""99,690 Ratings & 13,900 Reviews""",,,,
"NATIVE By Urban Company M2 | Needs no service for 2 years | 10-stage Purifier 8 L RO + UV + Minerals +...,""₹17,499"",4.5,Electrical & Storage2 year unconditional warranty on all spare parts including filters & membranes at zero service cost,1,""₹26,999"",35% off,""5,475 Ratings & 550 Reviews""",,,,
"Aquaguard Sure Delight RO+MC 1X 6 L RO + MC Water Purifier | 6-Stage Purification with 2-in-1 Mineral ...,""₹7,199"",4.3,Electrical & StorageFiltration Capacity: 15 L/hr1 Year Warranty,1,""₹13,000"",44% off,""20,396 Ratings & 2,143 Reviews""",,,,
